zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
678,18.43269,-66.92811999999999,Quebradillas,PR,Puerto Rico,1,,26091,407.5,72115,Quebradillas,"{'72071': 5.36, '72115': 93.17, '72131': 1.47}",Quebradillas|Isabela|San Sebastián,72115|72071|72131,False,0,America/Puerto_Rico
680,18.16327,-67.36195,Mayaguez,PR,Puerto Rico,1,,46395,349.6,72097,Mayagüez,"{'72011': 0.46, '72097': 97.01, '72125': 2.53}",Mayagüez|San Germán|Añasco,72097|72125|72011,False,0,America/Puerto_Rico
682,18.22117,-67.1538,Mayaguez,PR,Puerto Rico,1,,32359,874.3,72097,Mayagüez,{'72097': 100},Mayagüez,72097,False,0,America/Puerto_Rico
683,18.10998,-67.0373,San German,PR,Puerto Rico,1,,30424,249.9,72125,San Germán,{'72125': 100},San Germán,72125,False,0,America/Puerto_Rico
685,18.33625,-66.97225,San Sebastian,PR,Puerto Rico,1,,38039,213.3,72131,San Sebastián,"{'72071': 2, '72131': 98}",San Sebastián|Isabela,72131|72071,False,0,America/Puerto_Rico
687,18.317079999999997,-66.4203,Morovis,PR,Puerto Rico,1,,31320,323.9,72101,Morovis,{'72101': 100},Morovis,72101,False,0,America/Puerto_Rico
688,18.38056,-66.62425,Sabana Hoyos,PR,Puerto Rico,1,,12202,164.3,72013,Arecibo,{'72013': 100},Arecibo,72013,False,0,America/Puerto_Rico
690,18.49567,-67.09825,San Antonio,PR,Puerto Rico,1,,5352,857.7,72005,Aguadilla,{'72005': 100},Aguadilla,72005,False,0,America/Puerto_Rico
692,18.40845,-66.33691,Vega Alta,PR,Puerto Rico,1,,35840,541.2,72143,Vega Alta,{'72143': 100},Vega Alta,72143,False,0,America/Puerto_Rico
693,18.42132,-66.40012,Vega Baja,PR,Puerto Rico,1,,54428,599.3,72145,Vega Baja,"{'72143': 3.93, '72145': 96.07}",Vega Baja|Vega Alta,72145|72143,False,0,America/Puerto_Rico
694,18.48329,-66.39260999999999,Vega Baja,PR,Puerto Rico,1,,69,158.4,72145,Vega Baja,{'72145': 100},Vega Baja,72145,False,0,America/Puerto_Rico
698,18.06728,-66.85273000000001,Yauco,PR,Puerto Rico,1,,36312,231.7,72153,Yauco,"{'72059': 0.24, '72153': 99.76}",Yauco|Guayanilla,72153|72059,False,0,America/Puerto_Rico
703,18.24841,-66.13119,Aguas Buenas,PR,Puerto Rico,1,,26320,372.2,72007,Aguas Buenas,"{'72007': 95.47, '72045': 4.53}",Aguas Buenas|Comerío,72007|72045,False,0,America/Puerto_Rico
704,17.96719,-66.22017,Aguirre,PR,Puerto Rico,1,,8274,678.9,72123,Salinas,"{'72057': 7.72, '72123': 92.28}",Salinas|Guayama,72123|72057,False,0,America/Puerto_Rico
705,18.12946,-66.26477,Aibonito,PR,Puerto Rico,1,,23176,309.3,72009,Aibonito,"{'72009': 99.79, '72043': 0.21}",Aibonito|Coamo,72009|72043,False,0,America/Puerto_Rico
707,18.01814,-65.92201,Maunabo,PR,Puerto Rico,1,,10964,224.1,72095,Maunabo,{'72095': 100},Maunabo,72095,False,0,America/Puerto_Rico
714,17.99854,-66.05606,Arroyo,PR,Puerto Rico,1,,17998,516.8,72015,Arroyo,{'72015': 100},Arroyo,72015,False,0,America/Puerto_Rico
715,18.01172,-66.55985,Mercedita,PR,Puerto Rico,1,,2972,179.4,72113,Ponce,"{'72075': 25.74, '72113': 74.26}",Ponce|Juana Díaz,72113|72075,False,0,America/Puerto_Rico
